Player,Age,Position,Nation,Team,Value
Assane Diao,18,Left Winger,Spain,Real Betis,12.84
Abde Ezzalzouli,22,Left Winger,Morocco,Real Betis,9.63
Ayoze Pérez,30,Left Winger,Spain,Real Betis,7.49
Aitor Ruibal,28,Right Winger,Spain,Real Betis,3.75
Willian José,32,Centre-Forward,Brazil,Real Betis,5.35
Chimy Ávila,30,Centre-Forward,Argentina,Real Betis,3.21
Cédric Bakambu,33,Centre-Forward,DR Congo,Real Betis,2.67
Iván Villar,26,Goalkeeper,Spain,Celta de Vigo,1.28
Vicente Guaita,37,Goalkeeper,Spain,Celta de Vigo,0.86
Unai Núñez,27,Centre-Back,Spain,Celta de Vigo,7.49
Carl Starfelt,29,Centre-Back,Sweden,Celta de Vigo,6.42
Joseph Aidoo,28,Centre-Back,Ghana,Celta de Vigo,4.28
Carlos Domínguez,23,Centre-Back,Spain,Celta de Vigo,3.21
Manu Sánchez,23,Left-Back,Spain,Celta de Vigo,8.56
Mihailo Ristic,28,Left-Back,Serbia,Celta de Vigo,1.07
Óscar Mingueza,25,Right-Back,Spain,Celta de Vigo,8.56
Javier Manquillo,30,Right-Back,Spain,Celta de Vigo,1.93
Kevin Vázquez,31,Right-Back,Spain,Celta de Vigo,0.86
Renato Tapia,28,Defensive Midfield,Peru,Celta de Vigo,5.35
Jailson,28,Defensive Midfield,Brazil,Celta de Vigo,1.6
Fran Beltrán,25,Central Midfield,Spain,Celta de Vigo,6.42
Luca de la Torre,26,Central Midfield,United States,Celta de Vigo,3.21
Hugo Sotelo,20,Central Midfield,Spain,Celta de Vigo,2.67
Carlos Dotor,23,Central Midfield,Spain,Celta de Vigo,2.14
Damián Rodríguez,21,Central Midfield,Spain,Celta de Vigo,0.54
Williot Swedberg,20,Attacking Midfield,Sweden,Celta de Vigo,5.35
Jonathan Bamba,28,Left Winger,Cote d'Ivoire,Celta de Vigo,9.63
Franco Cervi,30,Left Winger,Argentina,Celta de Vigo,1.6
Hugo Álvarez,20,Left Winger,Spain,Celta de Vigo,1.6
Tadeo Allende,25,Right Winger,Argentina,Celta de Vigo,4.28
Carles Pérez,26,Right Winger,Spain,Celta de Vigo,2.67
Miguel Rodríguez,21,Right Winger,Spain,Celta de Vigo,0.86
Jørgen Strand Larsen,24,Centre-Forward,Norway,Celta de Vigo,26.75
Anastasios Douvikas,24,Centre-Forward,Greece,Celta de Vigo,6.42
Iago Aspas,36,Centre-Forward,Spain,Celta de Vigo,3.21
Antonio Sivera,27,Goalkeeper,Spain,Deportivo Alaves,6.42
Jesús Owono,23,Goalkeeper,Equatorial Guinea,Deportivo Alaves,1.07
Abdel Abqar,25,Centre-Back,Morocco,Deportivo Alaves,8.03
Rafa Marín,22,Centre-Back,Spain,Deportivo Alaves,8.03
Aleksandar Sedlar,32,Centre-Back,Serbia,Deportivo Alaves,0.43
Javi López,22,Left-Back,Spain,Deportivo Alaves,8.03
Rubén Duarte,28,Left-Back,Spain,Deportivo Alaves,3.21
Andoni Gorosabel,27,Right-Back,Spain,Deportivo Alaves,5.35
Nahuel Tenaglia,28,Right-Back,Argentina,Deportivo Alaves,2.14
Antonio Blanco,23,Defensive Midfield,Spain,Deportivo Alaves,8.03
Carlos Benavidez,26,Defensive Midfield,Uruguay,Deportivo Alaves,1.6
Ander Guevara,26,Central Midfield,Spain,Deportivo Alaves,5.35
Jon Guridi,29,Central Midfield,Spain,Deportivo Alaves,4.28
Ianis Hagi,25,Attacking Midfield,Romania,Deportivo Alaves,2.14
Luis Rioja,30,Left Winger,Spain,Deportivo Alaves,4.28
Abde Rebbach,25,Left Winger,Algeria,Deportivo Alaves,0.86
Álex Sola,25,Right Winger,Spain,Deportivo Alaves,4.28
Carlos Vicente,25,Right Winger,Spain,Deportivo Alaves,4.28
Xeber Alkain,27,Right Winger,Spain,Deportivo Alaves,1.6
Samu Omorodion,20,Centre-Forward,Spain,Deportivo Alaves,37.45
Giuliano Simeone,21,Centre-Forward,Argentina,Deportivo Alaves,3.21
Kike García,34,Centre-Forward,Spain,Deportivo Alaves,1.07
Joaquín Panichelli,21,Centre-Forward,Argentina,Deportivo Alaves,0.32
Álvaro Valles,26,Goalkeeper,Spain,UD Las Palmas,12.84
Aarón Escandell,28,Goalkeeper,Spain,UD Las Palmas,1.07
Mika Mármol,22,Centre-Back,Spain,UD Las Palmas,16.05
Saúl Coco,25,Centre-Back,Equatorial Guinea,UD Las Palmas,8.56
Alex Suárez,31,Centre-Back,Spain,UD Las Palmas,1.28
Juanma Herzog,20,Centre-Back,Spain,UD Las Palmas,1.07
Eric Curbelo,30,Centre-Back,Spain,UD Las Palmas,0.86
Sergi Cardona,24,Left-Back,Spain,UD Las Palmas,6.42
Daley Sinkgraven,28,Left-Back,Netherlands,UD Las Palmas,1.07
Julián Araujo,22,Right-Back,Mexico,UD Las Palmas,8.56
Álvaro Lemos,31,Right-Back,Spain,UD Las Palmas,0.75
Máximo Perrone,21,Defensive Midfield,Argentina,UD Las Palmas,9.63
Nuke Mfulu,30,Defensive Midfield,DR Congo,UD Las Palmas,0.75
Enzo Loiodice,23,Central Midfield,France,UD Las Palmas,4.28
Javi Muñoz,29,Central Midfield,Spain,UD Las Palmas,3.21
José Campaña,31,Central Midfield,Spain,UD Las Palmas,1.6
Fabio González,27,Central Midfield,Spain,UD Las Palmas,0.54
Alberto Moleiro,20,Attacking Midfield,Spain,UD Las Palmas,16.05
Kirian Rodríguez,28,Attacking Midfield,Spain,UD Las Palmas,12.84
Pejiño,27,Left Winger,Spain,UD Las Palmas,1.28
Benito Ramírez,28,Left Winger,Spain,UD Las Palmas,0.64
Munir El Haddadi,28,Right Winger,Morocco,UD Las Palmas,2.67
Marvin Park,23,Right Winger,Spain,UD Las Palmas,2.14
Sandro Ramírez,28,Centre-Forward,Spain,UD Las Palmas,1.6
Sory Kaba,28,Centre-Forward,Guinea,UD Las Palmas,1.6
Marc Cardona,28,Centre-Forward,Spain,UD Las Palmas,1.5
Cristian Herrera,33,Centre-Forward,Spain,UD Las Palmas,0.32
David Soria,31,Goalkeeper,Spain,Getafe CF,5.35
Daniel Fuzato,26,Goalkeeper,Brazil,Getafe CF,0.96
Gastón Álvarez,24,Centre-Back,Uruguay,Getafe CF,16.05
Omar Alderete,27,Centre-Back,Paraguay,Getafe CF,5.35
Djené,32,Centre-Back,Togo,Getafe CF,2.67
Domingos Duarte,29,Centre-Back,Portugal,Getafe CF,2.14
Diego Rico,31,Left-Back,Spain,Getafe CF,1.6
Fabrizio Angileri,30,Left-Back,Argentina,Getafe CF,1.07
Jordi Martín,23,Left-Back,Spain,Getafe CF,0.64
José Ángel Carmona,22,Right-Back,Spain,Getafe CF,3.75
Juan Iglesias,25,Right-Back,Spain,Getafe CF,2.67
Nemanja Maksimovic,29,Central Midfield,Serbia,Getafe CF,6.42
Mauro Arambarri,28,Central Midfield,Uruguay,Getafe CF,5.35
Luis Milla,29,Central Midfield,Spain,Getafe CF,3.75
Carles Aleñá,26,Central Midfield,Spain,Getafe CF,3.21
Ilaix Moriba,21,Central Midfield,Guinea,Getafe CF,3.21
Yellu Santiago,20,Central Midfield,Spain,Getafe CF,1.07
Óscar Rodríguez,25,Attacking Midfield,Spain,Getafe CF,2.67
Mason Greenwood,22,Right Winger,England,Getafe CF,26.75
Borja Mayoral,27,Centre-Forward,Spain,Getafe CF,16.05
Juanmi Latasa,23,Centre-Forward,Spain,Getafe CF,3.0
Jaime Mata,35,Centre-Forward,Spain,Getafe CF,0.96
Sergio Herrera,31,Goalkeeper,Spain,CA Osasuna,6.42
Aitor Fernández,33,Goalkeeper,Spain,CA Osasuna,1.93
David García,30,Centre-Back,Spain,CA Osasuna,10.7
Jorge Herrando,23,Centre-Back,Spain,CA Osasuna,6.42
Alejandro Catena,29,Centre-Back,Spain,CA Osasuna,4.28
Unai García,32,Centre-Back,Spain,CA Osasuna,1.28
Juan Cruz,31,Left-Back,Spain,CA Osasuna,2.35
Johan Mojica,31,Left-Back,Colombia,CA Osasuna,2.35
Jesús Areso,24,Right-Back,Spain,CA Osasuna,8.03
Rubén Peña,32,Right-Back,Spain,CA Osasuna,2.35
Iker Muñoz,21,Defensive Midfield,Spain,CA Osasuna,5.35
Lucas Torró,29,Defensive Midfield,Spain,CA Osasuna,4.28
Jon Moncayola,26,Central Midfield,Spain,CA Osasuna,7.49
Pablo Ibáñez,25,Central Midfield,Spain,CA Osasuna,2.67
Aimar Oroz,22,Attacking Midfield,Spain,CA Osasuna,16.05
Moi Gómez,30,Left Winger,Spain,CA Osasuna,3.75
Rubén García,30,Left Winger,Spain,CA Osasuna,2.67
José Manuel Arnáiz,29,Left Winger,Spain,CA Osasuna,2.14
Kike Barja,27,Right Winger,Spain,CA Osasuna,2.14
Ante Budimir,32,Centre-Forward,Croatia,CA Osasuna,5.35
Raúl García,23,Centre-Forward,Spain,CA Osasuna,4.28
Predrag Rajkovic,28,Goalkeeper,Serbia,RCD Mallorca,10.7
Dominik Greif,27,Goalkeeper,Slovakia,RCD Mallorca,2.67
Iván Cuéllar,40,Goalkeeper,Spain,RCD Mallorca,0.11
Martin Valjent,28,Centre-Back,Slovakia,RCD Mallorca,6.42
José Copete,24,Centre-Back,Spain,RCD Mallorca,3.0
Siebe Van der Heyden,26,Centre-Back,Belgium,RCD Mallorca,2.14
Antonio Raíllo,32,Centre-Back,Spain,RCD Mallorca,2.14
Matija Nastasic,31,Centre-Back,Serbia,RCD Mallorca,1.6
Toni Lato,26,Left-Back,Spain,RCD Mallorca,3.75
Jaume Costa,36,Left-Back,Spain,RCD Mallorca,0.96
Pablo Maffeo,26,Right-Back,Argentina,RCD Mallorca,5.35
Giovanni González,29,Right-Back,Uruguay,RCD Mallorca,3.21
Nacho Vidal,29,Right-Back,Spain,RCD Mallorca,2.14
Samú Costa,23,Defensive Midfield,Portugal,RCD Mallorca,10.7
Omar Mascarell,31,Defensive Midfield,Equatorial Guinea,RCD Mallorca,1.07
Sergi Darder,30,Central Midfield,Spain,RCD Mallorca,6.42
Manu Morlanes,25,Central Midfield,Spain,RCD Mallorca,2.67
Antonio Sánchez,27,Central Midfield,Spain,RCD Mallorca,2.67
Dani Rodríguez,36,Attacking Midfield,Spain,RCD Mallorca,1.07
Nemanja Radonjic,28,Left Winger,Serbia,RCD Mallorca,3.0
Javi Llabrés,21,Left Winger,Spain,RCD Mallorca,0.75
Vedat Muriqi,30,Centre-Forward,Kosovo,RCD Mallorca,12.84
Cyle Larin,29,Centre-Forward,Canada,RCD Mallorca,4.28
Abdón Prats,31,Centre-Forward,Spain,RCD Mallorca,1.93
Luís Maximiano,25,Goalkeeper,Portugal,UD Almeria,5.35
Fernando Martínez,34,Goalkeeper,Spain,UD Almeria,0.75
Diego Mariño,34,Goalkeeper,Spain,UD Almeria,0.32
Edgar González,27,Centre-Back,Spain,UD Almeria,3.21
César Montes,27,Centre-Back,Mexico,UD Almeria,3.21
Chumi,25,Centre-Back,Spain,UD Almeria,2.14
Aleksandar Radovanovic,30,Centre-Back,Serbia,UD Almeria,0.96
Bruno Langa,26,Left-Back,Mozambique,UD Almeria,1.6
Álex Centelles,24,Left-Back,Spain,UD Almeria,1.28
Marc Pubill,21,Right-Back,Spain,UD Almeria,4.28
Álex Pozo,25,Right-Back,Spain,UD Almeria,2.14
Dion Lopy,22,Defensive Midfield,Senegal,UD Almeria,10.7
Lucas Robertone,27,Central Midfield,Argentina,UD Almeria,7.49
Iddrisu Baba,28,Central Midfield,Ghana,UD Almeria,2.35
Gonzalo Melero,30,Central Midfield,Spain,UD Almeria,1.93
Marcos Peña,19,Central Midfield,Spain,UD Almeria,1.07
Sergio Arribas,22,Attacking Midfield,Spain,UD Almeria,10.7
Jonathan Viera,34,Attacking Midfield,Spain,UD Almeria,1.07
Largie Ramazani,23,Left Winger,Belgium,UD Almeria,5.35
Luka Romero,19,Right Winger,Argentina,UD Almeria,5.35
Adrián Embarba,32,Right Winger,Spain,UD Almeria,1.93
Luis Suárez,26,Centre-Forward,Colombia,UD Almeria,3.75
Ibrahima Koné,25,Centre-Forward,Mali,UD Almeria,2.67
Léo Baptistão,31,Centre-Forward,Brazil,UD Almeria,1.6
Choco Lozano,31,Centre-Forward,Honduras,UD Almeria,1.28
Marko Milovanovic,20,Centre-Forward,Serbia,UD Almeria,0.96
Augusto Batalla,28,Goalkeeper,Argentina,Granada CF,5.35
Marc Martínez,34,Goalkeeper,Spain,Granada CF,0.32
Raúl Fernández,36,Goalkeeper,Spain,Granada CF,0.21
Bruno Méndez,24,Centre-Back,Uruguay,Granada CF,5.35
Raúl Torrente,22,Centre-Back,Spain,Granada CF,3.21
Kamil Piatkowski,24,Centre-Back,Poland,Granada CF,2.67
Miguel Rubio,26,Centre-Back,Spain,Granada CF,1.6
Ignasi Miquel,31,Centre-Back,Spain,Granada CF,1.28
Jesús Vallejo,27,Centre-Back,Spain,Granada CF,1.07
Faitout Maouassa,25,Left-Back,France,Granada CF,4.28
Carlos Neva,28,Left-Back,Spain,Granada CF,2.67
Ricard Sánchez,24,Right-Back,Spain,Granada CF,2.67
Víctor Díaz,36,Right-Back,Spain,Granada CF,0.43
Gerard Gumbau,29,Defensive Midfield,Spain,Granada CF,3.21
Martin Hongla,26,Defensive Midfield,Cameroon,Granada CF,2.67
Gonzalo Villar,26,Central Midfield,Spain,Granada CF,3.21
Sergio Ruiz,29,Central Midfield,Spain,Granada CF,2.14
Óscar Melendo,26,Attacking Midfield,Spain,Granada CF,2.14
Myrto Uzuni,29,Left Winger,Albania,Granada CF,8.56
Kamil Jóźwiak,26,Left Winger,Poland,Granada CF,2.14
Facundo Pellistri,22,Right Winger,Uruguay,Granada CF,8.56
Antonio Puertas,32,Right Winger,Spain,Granada CF,2.14
Theo Corbeanu,22,Right Winger,Canada,Granada CF,1.6
José Callejón,37,Right Winger,Spain,Granada CF,0.86
Lucas Boyé,28,Centre-Forward,Argentina,Granada CF,7.49
Matías Arezo,21,Centre-Forward,Uruguay,Granada CF,7.49
Stole Dimitrievski,30,Goalkeeper,North Macedonia,Rayo Vallecano,4.28
Dani Cárdenas,27,Goalkeeper,Spain,Rayo Vallecano,1.93
Florian Lejeune,33,Centre-Back,France,Rayo Vallecano,3.21
Abdul Mumin,26,Centre-Back,Ghana,Rayo Vallecano,2.67
Aridane Hernández,35,Centre-Back,Spain,Rayo Vallecano,0.86
Martín Pascual,24,Centre-Back,Spain,Rayo Vallecano,0.32
Alfonso Espino,32,Left-Back,Uruguay,Rayo Vallecano,2.57
Pep Chavarría,26,Left-Back,Spain,Rayo Vallecano,2.14
Iván Balliu,32,Right-Back,Albania,Rayo Vallecano,2.14
Andrei Rațiu,26,Right-Back,Romania,Rayo Vallecano,1.5
Miguel Crespo,27,Central Midfield,Portugal,Rayo Vallecano,4.28
Óscar Valentín,29,Central Midfield,Spain,Rayo Vallecano,4.28
Kike Pérez,27,Central Midfield,Spain,Rayo Vallecano,3.21
Unai López,28,Central Midfield,Spain,Rayo Vallecano,3.21
Pathé Ciss,30,Central Midfield,Senegal,Rayo Vallecano,2.67
Randy Nteka,26,Attacking Midfield,Angola,Rayo Vallecano,1.6
José Pozo,28,Attacking Midfield,Spain,Rayo Vallecano,1.07
Óscar Trejo,36,Attacking Midfield,Argentina,Rayo Vallecano,1.07
Álvaro García,31,Left Winger,Spain,Rayo Vallecano,3.21
Bebé,33,Left Winger,Cape Verde,Rayo Vallecano,0.64
Isi Palazón,29,Right Winger,Spain,Rayo Vallecano,8.56
Jorge de Frutos,27,Right Winger,Spain,Rayo Vallecano,4.28
Sergio Camello,23,Centre-Forward,Spain,Rayo Vallecano,3.21
Raúl de Tomás,29,Centre-Forward,Spain,Rayo Vallecano,2.14
Radamel Falcao,38,Centre-Forward,Colombia,Rayo Vallecano,0.86
Conan Ledesma,31,Goalkeeper,Argentina,Cadiz CF,5.35
David Gil,30,Goalkeeper,Spain,Cadiz CF,0.75
Fali,30,Centre-Back,Spain,Cadiz CF,2.14
Víctor Chust,24,Centre-Back,Spain,Cadiz CF,2.14
Aiham Ousou,24,Centre-Back,Syria,Cadiz CF,1.93
Jorge Meré,27,Centre-Back,Spain,Cadiz CF,1.07
Luis Hernández,35,Centre-Back,Spain,Cadiz CF,0.54
Momo Mbaye,25,Centre-Back,Senegal,Cadiz CF,0.43
Javi Hernández,26,Left-Back,Spain,Cadiz CF,2.67
Lucas Pires,23,Left-Back,Brazil,Cadiz CF,2.14
Iza Carcelén,31,Right-Back,Spain,Cadiz CF,1.6
Joseba Zaldua,32,Right-Back,Spain,Cadiz CF,0.96
Diadié Samassékou,28,Defensive Midfield,Mali,Cadiz CF,2.14
José Mari,36,Defensive Midfield,Spain,Cadiz CF,0.21
Rominigue Kouamé,27,Central Midfield,Mali,Cadiz CF,2.14
Rubén Alcaraz,33,Central Midfield,Spain,Cadiz CF,1.6
Gonzalo Escalante,31,Central Midfield,Argentina,Cadiz CF,1.6
Fede San Emeterio,27,Central Midfield,Spain,Cadiz CF,1.6
Robert Navarro,22,Attacking Midfield,Spain,Cadiz CF,6.42
Álex Fernández,31,Attacking Midfield,Spain,Cadiz CF,1.6
Juanmi,31,Left Winger,Spain,Cadiz CF,6.42
Darwin Machís,31,Left Winger,Venezuela,Cadiz CF,2.14
Brian Ocampo,25,Left Winger,Uruguay,Cadiz CF,0.96
Iván Alejo,29,Right Winger,Spain,Cadiz CF,1.6
Chris Ramos,27,Centre-Forward,Spain,Cadiz CF,4.28
Maxi Gómez,27,Centre-Forward,Uruguay,Cadiz CF,2.14
Rubén Sobrino,32,Centre-Forward,Spain,Cadiz CF,1.5
Roger Martí,33,Centre-Forward,Spain,Cadiz CF,1.28
Sergi Guardiola,33,Centre-Forward,Spain,Cadiz CF,0.86
Gianluigi Donnarumma,25,Goalkeeper,Italy,Paris Saint-Germain,42.8
Arnau Tenas,23,Goalkeeper,Spain,Paris Saint-Germain,5.35
Keylor Navas,37,Goalkeeper,Costa Rica,Paris Saint-Germain,1.6
Sergio Rico,30,Goalkeeper,Spain,Paris Saint-Germain,1.6
Alexandre Letellier,33,Goalkeeper,France,Paris Saint-Germain,0.27
Marquinhos,30,Centre-Back,Brazil,Paris Saint-Germain,53.5
Lucas Beraldo,20,Centre-Back,Brazil,Paris Saint-Germain,32.1
Milan Skriniar,29,Centre-Back,Slovakia,Paris Saint-Germain,32.1
Presnel Kimpembe,28,Centre-Back,France,Paris Saint-Germain,12.84
Nuno Mendes,22,Left-Back,Portugal,Paris Saint-Germain,58.85
Lucas Hernández,28,Left-Back,France,Paris Saint-Germain,42.8
Layvin Kurzawa,31,Left-Back,France,Paris Saint-Germain,1.93
Achraf Hakimi,25,Right-Back,Morocco,Paris Saint-Germain,64.2
Nordi Mukiele,26,Right-Back,France,Paris Saint-Germain,10.7
Yoram Zague,18,Right-Back,France,Paris Saint-Germain,2.67
Manuel Ugarte,23,Defensive Midfield,Uruguay,Paris Saint-Germain,48.15
Danilo Pereira,32,Defensive Midfield,Portugal,Paris Saint-Germain,8.56
Warren Zaïre-Emery,18,Central Midfield,France,Paris Saint-Germain,64.2
Vitinha,24,Central Midfield,Portugal,Paris Saint-Germain,53.5
Fabián Ruiz,28,Central Midfield,Spain,Paris Saint-Germain,32.1
Carlos Soler,27,Central Midfield,Spain,Paris Saint-Germain,21.4
Ethan Mbappé,17,Central Midfield,France,Paris Saint-Germain,1.6
Kang-in Lee,23,Attacking Midfield,South Korea,Paris Saint-Germain,26.75
Senny Mayulu,18,Attacking Midfield,France,Paris Saint-Germain,5.35
Bradley Barcola,21,Left Winger,France,Paris Saint-Germain,53.5
Ousmane Dembélé,27,Right Winger,France,Paris Saint-Germain,64.2
Marco Asensio,28,Right Winger,Spain,Paris Saint-Germain,21.4
Kylian Mbappé,25,Centre-Forward,France,Paris Saint-Germain,192.6
Gonçalo Ramos,23,Centre-Forward,Portugal,Paris Saint-Germain,53.5
Randal Kolo Muani,25,Centre-Forward,France,Paris Saint-Germain,48.15
Radoslaw Majecki,24,Goalkeeper,Poland,AS Monaco,5.35
Philipp Köhn,26,Goalkeeper,Switzerland,AS Monaco,5.35
Yann Lienard,21,Goalkeeper,France,AS Monaco,0.21
Mohammed Salisu,25,Centre-Back,Ghana,AS Monaco,16.05
Guillermo Maripán,30,Centre-Back,Chile,AS Monaco,10.7
Thilo Kehrer,27,Centre-Back,Germany,AS Monaco,10.7
Soungoutou Magassa,20,Centre-Back,France,AS Monaco,8.56
Caio Henrique,26,Left-Back,Brazil,AS Monaco,21.4
Ismail Jakobs,24,Left-Back,Senegal,AS Monaco,8.56
Kassoum Ouattara,19,Left-Back,France,AS Monaco,8.56
Wilfried Singo,23,Right-Back,Cote d'Ivoire,AS Monaco,26.75
Vanderson,23,Right-Back,Brazil,AS Monaco,21.4
Denis Zakaria,27,Defensive Midfield,Switzerland,AS Monaco,26.75
Mohamed Camara,24,Defensive Midfield,Mali,AS Monaco,21.4
Youssouf Fofana,25,Central Midfield,France,AS Monaco,32.1
Edan Diop,19,Central Midfield,France,AS Monaco,2.14
Aleksandr Golovin,28,Attacking Midfield,Russia,AS Monaco,32.1
Maghnes Akliouche,22,Attacking Midfield,France,AS Monaco,26.75
Eliesse Ben Seghir,19,Attacking Midfield,Morocco,AS Monaco,16.05
Takumi Minamino,29,Left Winger,Japan,AS Monaco,21.4
Krépin Diatta,25,Right Winger,Senegal,AS Monaco,12.84
Folarin Balogun,22,Centre-Forward,United States,AS Monaco,32.1
Breel Embolo,27,Centre-Forward,Switzerland,AS Monaco,12.84
Wissam Ben Yedder,33,Centre-Forward,France,AS Monaco,8.56
Lucas Chevalier,22,Goalkeeper,France,LOSC Lille,26.75
Vito Mannone,36,Goalkeeper,Italy,LOSC Lille,0.21
Adam Jakubech,27,Goalkeeper,Slovakia,LOSC Lille,0.21
Leny Yoro,18,Centre-Back,France,LOSC Lille,53.5
Alexsandro,24,Centre-Back,Brazil,LOSC Lille,8.56
Samuel Umtiti,30,Centre-Back,France,LOSC Lille,2.67
Rafael Fernandes,21,Centre-Back,Portugal,LOSC Lille,1.6
Gabriel Gudmundsson,25,Left-Back,Sweden,LOSC Lille,5.35
Ismaily,34,Left-Back,Brazil,LOSC Lille,1.93
Bafodé Diakité,23,Right-Back,France,LOSC Lille,19.26
Tiago Santos,21,Right-Back,Portugal,LOSC Lille,16.05
Nabil Bentaleb,29,Defensive Midfield,Algeria,LOSC Lille,10.7
Benjamin André,33,Defensive Midfield,France,LOSC Lille,8.56
Ignacio Miramón,21,Defensive Midfield,Argentina,LOSC Lille,2.67
Ayyoub Bouaddi,16,Central Midfield,France,LOSC Lille,6.42
Angel Gomes,23,Attacking Midfield,England,LOSC Lille,26.75
Yusuf Yazıcı,27,Attacking Midfield,Türkiye,LOSC Lille,10.7
Rémy Cabella,34,Attacking Midfield,France,LOSC Lille,3.75
Hákon Arnar Haraldsson,21,Left Winger,Iceland,LOSC Lille,9.63
Tiago Morais,20,Left Winger,Portugal,LOSC Lille,3.21
Ivan Cavaleiro,30,Left Winger,Angola,LOSC Lille,2.14
Edon Zhegrova,25,Right Winger,Kosovo,LOSC Lille,26.75
Adam Ounas,27,Right Winger,Algeria,LOSC Lille,4.28
Jonathan David,24,Centre-Forward,Canada,LOSC Lille,53.5
Andrej Ilic,24,Centre-Forward,Serbia,LOSC Lille,3.21
Gauthier Gallon,31,Goalkeeper,France,Stade Rennais FC,1.28
Steve Mandanda,39,Goalkeeper,France,Stade Rennais FC,0.86
Geoffrey Lembet,35,Goalkeeper,Central African Republic,Stade Rennais FC,0.16
Arthur Theate,24,Centre-Back,Belgium,Stade Rennais FC,21.4
Jeanuël Belocian,19,Centre-Back,France,Stade Rennais FC,10.7
Alidu Seidu,24,Centre-Back,Ghana,Stade Rennais FC,9.63
Warmed Omari,24,Centre-Back,France,Stade Rennais FC,8.56
Christopher Wooh,22,Centre-Back,Cameroon,Stade Rennais FC,6.42
Adrien Truffert,22,Left-Back,France,Stade Rennais FC,19.26
Mahamadou Nagida,18,Left-Back,Cameroon,Stade Rennais FC,0.54
Guéla Doué,21,Right-Back,Cote d'Ivoire,Stade Rennais FC,7.49
Azor Matusiwa,26,Defensive Midfield,Netherlands,Stade Rennais FC,12.84
Baptiste Santamaria,29,Defensive Midfield,France,Stade Rennais FC,10.7
Benjamin Bourigeaud,30,Central Midfield,France,Stade Rennais FC,19.26
Enzo Le Fée,24,Central Midfield,France,Stade Rennais FC,19.26
Ludovic Blas,26,Attacking Midfield,France,Stade Rennais FC,16.05
Fabian Rieder,22,Attacking Midfield,Switzerland,Stade Rennais FC,8.56
Désiré Doué,19,Left Winger,France,Stade Rennais FC,32.1
Amine Gouiri,24,Left Winger,Algeria,Stade Rennais FC,26.75
Martin Terrier,27,Left Winger,France,Stade Rennais FC,21.4
Ibrahim Salah,22,Left Winger,Morocco,Stade Rennais FC,4.28
Arnaud Kalimuendo,22,Centre-Forward,France,Stade Rennais FC,21.4
Bertuğ Yıldırım,21,Centre-Forward,Türkiye,Stade Rennais FC,3.75
Mathis Lambourde,18,Centre-Forward,France,Stade Rennais FC,0.54
Marcin Bulka,24,Goalkeeper,Poland,OGC Nice,21.4
Maxime Dupé,31,Goalkeeper,France,OGC Nice,1.6
Teddy Boulhendi,23,Goalkeeper,Algeria,OGC Nice,0.11
Jean-Clair Todibo,24,Centre-Back,France,OGC Nice,37.45
Dante,40,Centre-Back,Brazil,OGC Nice,0.54
Amidou Doumbouya,16,Centre-Back,France,OGC Nice,0.32
Yannis Nahounou,20,Centre-Back,France,OGC Nice,0.05
Melvin Bard,23,Left-Back,France,OGC Nice,12.84
Romain Perraud,26,Left-Back,France,OGC Nice,5.35
Jordan Lotomba,25,Right-Back,Switzerland,OGC Nice,8.56
Valentin Rosier,27,Right-Back,France,OGC Nice,4.28
Antoine Mendy,20,Right-Back,France,OGC Nice,0.86
Youssouf Ndayishimiye,25,Defensive Midfield,Burundi,OGC Nice,16.05
Pablo Rosario,27,Defensive Midfield,Netherlands,OGC Nice,8.56
Alexis Beka Beka,23,Defensive Midfield,France,OGC Nice,1.6
Khéphren Thuram,23,Central Midfield,France,OGC Nice,37.45
Hicham Boudaoui,24,Central Midfield,Algeria,OGC Nice,9.63
Morgan Sanson,29,Central Midfield,France,OGC Nice,8.56
Tom Louchet,21,Central Midfield,France,OGC Nice,3.21
Daouda Traoré,17,Central Midfield,France,OGC Nice,0.05
Alexis Claude-Maurice,26,Attacking Midfield,France,OGC Nice,3.75
Jérémie Boga,27,Left Winger,Cote d'Ivoire,OGC Nice,16.05
Sofiane Diop,24,Left Winger,Morocco,OGC Nice,12.84
Mohamed-Ali Cho,20,Left Winger,France,OGC Nice,10.7
Aliou Baldé,21,Left Winger,Guinea,OGC Nice,0.86
Terem Moffi,25,Centre-Forward,Nigeria,OGC Nice,26.75
Gaëtan Laborde,30,Centre-Forward,France,OGC Nice,10.7
Evann Guessand,22,Centre-Forward,Cote d'Ivoire,OGC Nice,8.56
Lucas Perri,26,Goalkeeper,Brazil,Lyon,6.42
Anthony Lopes,33,Goalkeeper,Portugal,Lyon,4.28
Justin Bengui Joao,18,Goalkeeper,France,Lyon,0.32
Jake O'Brien,23,Centre-Back,Ireland,Lyon,12.84
Duje Caleta-Car,27,Centre-Back,Croatia,Lyon,7.49
Sinaly Diomandé,23,Centre-Back,Cote d'Ivoire,Lyon,4.28
Adryelson,26,Centre-Back,Brazil,Lyon,4.28
Dejan Lovren,34,Centre-Back,Croatia,Lyon,1.28
Nicolás Tagliafico,31,Left-Back,Argentina,Lyon,8.56
Henrique Silva,30,Left-Back,Brazil,Lyon,1.07
Saël Kumbedi,19,Right-Back,France,Lyon,7.49
Clinton Mata,31,Right-Back,Angola,Lyon,4.28
Johann Lepenant,21,Defensive Midfield,France,Lyon,6.42
